,,,,,,,,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES ("
1116,15,16,17,25,30,31,32,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1116,15,16,17,25,30,31,31, current_timestamp);"
1115,7,12,23,32,34,36,8,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1115,7,12,23,32,34,36,36, current_timestamp);"
1114,10,16,19,32,33,38,3,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1114,10,16,19,32,33,38,38, current_timestamp);"
1113,11,13,20,21,32,44,8,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1113,11,13,20,21,32,44,44, current_timestamp);"
1112,16,20,26,36,42,44,24,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1112,16,20,26,36,42,44,44, current_timestamp);"
1111,3,13,30,33,43,45,4,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1111,3,13,30,33,43,45,45, current_timestamp);"
1110,3,7,11,20,22,41,24,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1110,3,7,11,20,22,41,41, current_timestamp);"
1109,10,12,13,19,33,40,2,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1109,10,12,13,19,33,40,40, current_timestamp);"
1108,7,19,26,37,39,44,27,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1108,7,19,26,37,39,44,44, current_timestamp);"
1107,6,14,30,31,40,41,29,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1107,6,14,30,31,40,41,41, current_timestamp);"
1106,1,3,4,29,42,45,36,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1106,1,3,4,29,42,45,45, current_timestamp);"
1105,6,16,34,37,39,40,11,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1105,6,16,34,37,39,40,40, current_timestamp);"
1104,1,7,21,30,35,38,2,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1104,1,7,21,30,35,38,38, current_timestamp);"
1103,10,12,29,31,40,44,2,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1103,10,12,29,31,40,44,44, current_timestamp);"
1102,13,14,22,26,37,38,20,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1102,13,14,22,26,37,38,38, current_timestamp);"
1101,6,7,13,28,36,42,41,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1101,6,7,13,28,36,42,42, current_timestamp);"
1100,17,26,29,30,31,43,12,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1100,17,26,29,30,31,43,43, current_timestamp);"
1099,3,20,28,38,40,43,4,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1099,3,20,28,38,40,43,43, current_timestamp);"
1098,12,16,21,24,41,43,15,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1098,12,16,21,24,41,43,43, current_timestamp);"
1097,14,33,34,35,37,40,4,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1097,14,33,34,35,37,40,40, current_timestamp);"
1096,1,12,16,19,23,43,34,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1096,1,12,16,19,23,43,43, current_timestamp);"
1095,8,14,28,29,34,40,12,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1095,8,14,28,29,34,40,40, current_timestamp);"
1094,6,7,15,22,26,40,41,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1094,6,7,15,22,26,40,40, current_timestamp);"
1093,10,17,22,30,35,43,44,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1093,10,17,22,30,35,43,43, current_timestamp);"
1092,7,18,19,26,33,45,37,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1092,7,18,19,26,33,45,45, current_timestamp);"
1091,6,20,23,24,28,30,44,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1091,6,20,23,24,28,30,30, current_timestamp);"
1090,12,19,21,29,40,45,1,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1090,12,19,21,29,40,45,45, current_timestamp);"
1089,4,8,31,37,42,43,40,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1089,4,8,31,37,42,43,43, current_timestamp);"
1088,11,21,22,30,39,44,31,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1088,11,21,22,30,39,44,44, current_timestamp);"
1087,13,14,18,21,34,44,16,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1087,13,14,18,21,34,44,44, current_timestamp);"
1086,11,16,25,27,35,36,37,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1086,11,16,25,27,35,36,36, current_timestamp);"
1085,4,7,17,18,38,44,36,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1085,4,7,17,18,38,44,44, current_timestamp);"
1084,8,12,13,29,33,42,5,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1084,8,12,13,29,33,42,42, current_timestamp);"
1083,3,7,14,15,22,38,17,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1083,3,7,14,15,22,38,38, current_timestamp);"
1082,21,26,27,32,34,42,31,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1082,21,26,27,32,34,42,42, current_timestamp);"
1081,1,9,16,23,24,38,17,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1081,1,9,16,23,24,38,38, current_timestamp);"
1080,13,16,23,31,36,44,38,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1080,13,16,23,31,36,44,44, current_timestamp);"
1079,4,8,18,24,37,45,6,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1079,4,8,18,24,37,45,45, current_timestamp);"
1078,6,10,11,14,36,38,43,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1078,6,10,11,14,36,38,38, current_timestamp);"
1077,4,8,17,30,40,43,34,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1077,4,8,17,30,40,43,43, current_timestamp);"
1076,3,7,9,33,36,37,10,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1076,3,7,9,33,36,37,37, current_timestamp);"
1075,1,23,24,35,44,45,10,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1075,1,23,24,35,44,45,45, current_timestamp);"
1074,1,6,20,27,28,41,15,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1074,1,6,20,27,28,41,41, current_timestamp);"
1073,6,18,28,30,32,38,15,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1073,6,18,28,30,32,38,38, current_timestamp);"
1072,16,18,20,23,32,43,27,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1072,16,18,20,23,32,43,43, current_timestamp);"
1071,1,2,11,21,30,35,39,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1071,1,2,11,21,30,35,35, current_timestamp);"
1070,3,6,14,22,30,41,36,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1070,3,6,14,22,30,41,41, current_timestamp);"
1069,1,10,18,22,28,31,44,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1069,1,10,18,22,28,31,31, current_timestamp);"
1068,4,7,19,26,33,35,3,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1068,4,7,19,26,33,35,35, current_timestamp);"
1067,7,10,19,23,28,33,18,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1067,7,10,19,23,28,33,33, current_timestamp);"
1066,6,11,16,19,21,32,45,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1066,6,11,16,19,21,32,32, current_timestamp);"
1065,3,18,19,23,32,45,24,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1065,3,18,19,23,32,45,45, current_timestamp);"
1064,3,6,9,18,22,35,14,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1064,3,6,9,18,22,35,35, current_timestamp);"
